ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
99;enchente;dez/08;Lago do Padre;10;CV;44166;Acestrorhynchus falcirostris;26.3;181.4;F;4;2;158.7;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44167;Acestrorhynchus falcirostris;25.4;167.5;F;3;2;145.9;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44168;Acestrorhynchus falcirostris;24.6;154.8;F;3;2;133.4;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44169;Acestrorhynchus falcirostris;20.5;75.6;M;NA;1;71.5;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44170;Acestrorhynchus falcirostris;19.4;60.2;M;NA;0;57.3;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CV;44171;Acestrorhynchus falcirostris;17.8;46.6;M;NA;0;43.8;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
23;vazante;set/01;Lago do Padre;2;CV;22052;Pellona castelnaeana;42.5;1111.4;F;6;1;1063.8;estrito;0.99;0.25;18.9;-22.4;18.57;28.21;134;53;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44239;Acestrorhynchus falcirostris;24.5;141.7;F;3;3;127.52;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44240;Acestrorhynchus falcirostris;21.8;87.6;M;3;2;82.9;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44241;Acestrorhynchus falcirostris;21.8;109.6;F;3;2;92.42;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44242;Acestrorhynchus falcirostris;22.8;104.2;M;3;3;96.46;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44243;Acestrorhynchus falcirostris;21.2;83.1;M;3;3;76.87;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44244;Acestrorhynchus falcirostris;22.3;91.2;M;3;2;87.2;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44245;Acestrorhynchus falcirostris;24.8;152.6;M;3;3;140.17;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44246;Acestrorhynchus falcirostris;22.2;91.7;M;3;2;85.49;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44247;Acestrorhynchus falcirostris;21.8;91.9;F;2;2;84.7;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44248;Acestrorhynchus falcirostris;24.3;115.4;F;3;2;105.35;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44249;Acestrorhynchus falcirostris;22.2;90.9;F;4;2;82.93;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44266;Pellona flavipinnis;18.5;98.6;M;NA;1;91.82;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44267;Pellona flavipinnis;15.2;52.7;M;NA;0;48.19;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
23;vazante;set/01;Lago do Padre;2;CM;22127;Pellona castelnaeana;22.0 ;152.8;M;NA;1;145.3;estrito;0.99;0.25;18.9;-22.4;18.57;28.21;134;53;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44299;Serrasalmus maculatus;12.5;83.5;M;NA;2;75.1;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CM;44300;Serrasalmus maculatus;13.1;96.1;F;3;2;84.7;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;CM;44301;Pygocentrus nattereri;13.4;115.00 ;M;3;2;103.1;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CM;44302;Pygocentrus nattereri;12.5;95.1;M;3;1;86.3;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;CM;44303;Pygocentrus nattereri;13.2;108.00 ;M;3;1;98.0 ;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44320;Pellona flavipinnis;14.6;44.5;M;NA;0;42.0 ;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44321;Pellona flavipinnis;14.0 ;45.8;F;6;2;42.2;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44322;Pellona flavipinnis;14.0 ;41.6;M;NA;1;38.4;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44323;Pellona flavipinnis;15.0 ;54.2;F;2;2;50.5;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44324;Pellona flavipinnis;14.5;44.8;M;NA;2;42.1;carnivoro;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;N;44325;Acestrorhynchus falcirostris;24.2;116.5;F;3;1;104.7;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;N;44326;Acestrorhynchus falcirostris;21.0 ;84.8;M;NA;2;78.2;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44327;Acestrorhynchus falcirostris;26.5;157.6;F;3;1;137.8;estrito;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
99;enchente;dez/08;Lago do Padre;10;N;44328;Serrasalmus maculatus;14.8;140.3;F;3;2;120.8;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;1;NA
99;enchente;dez/08;Lago do Padre;10;N;44329;Serrasalmus sp.n. robertsonii;12.8;65.7;M;NA;2;60.2;mutilador ;0.85;1.81;82.9;-9.4;18.43;29.77;198;66;0;NA
